0,1
بیگم,begam
بیگوں,begon
بیگی,bagi
بیں,bein
تابندگی,tabandagee
تاریخوں,tarikhon
تاسف,tasif
تثنیہ,tacnia
تجزیات,tajziyat
تجوید,tajveed
تحرک,tahrik
تحف,tahaf
تحفوں,tahfon
تحفے,tohfe
تحقیات,tehqiyaat
تحقیقاتی,tehqeeqaatee
تخریج,takhrij
تخلص,takhallus
تخیّل,takhayyul
تذکره,tazkarah
تراشتی,taraashtee
تربتی,tarbati
تربيت,tarbiyat
ترسیموں,tarseemon
ترغیب,targhib
ترنگے,tirange
ترويح,tarweeh
تزئینی,tazeeni
تسخیر,taskheer
تسلی,tasali
تسمانیا,tasmania
تشخیص,tashkhis
تصنیف,tasneef
تصنیفات,tasneefat
تصنیفی,tasneefi
تعزیت,tazet
تعزیتی,taazeati
تعمیل,tameal
تغذیہ,taghjiyah
تفتیش,tafteesh
تفریع,tafria
تقاریب,taqarib
تقريب,taqreeb
تقریب,taqrib
تقریبات,taqribat
تقریبوں,taqribon
تقریبی,taqribi
تلار,talaar
تلاشتے,talaashate
تلاشنے,talashnay
تلاشِ,talaashi
تلاشی,talaashi
تلافی,talaafi
تلفّظ,talaffaz
تمار,tamar
تماشا,tamasha
تماشائی,tamaachai
تمغہ,tamgha
تمہارے,tumhare
تنها,tanha
تواضع,tavajaa
توانائی,tawanayi
تواند,tawand
توبیخ,taubeekh
توثیق,taosiq
توحید,tauheed
توفیقات,taufiqat
تونا,tuna
تونسی,tonsi
تير,teer
تُو,tu
تِس,tas
تپش,tapish
تڑپتے,tadaptay
تک,tak
تکراری,takrari
تکریت,takreet
تکریم,takreem
تکلیف,takleef
تکلیفوں,takleefon
تکیوں,takiyon
تکے,takay
تھال,thal
تھالی,thaali
تھامسن,tahaamasan
تھلا,thala
تھورا,tahura
تھوپی,thoopi
تھپڑ,tahpad
تھکتے,thakte
تھکے,thakay
تھی,thi
تھیسارس,thesaurus
تھیلے,thaile
تھیٹر,theatre
تھیٹروں,theataron
تہائی,tehai
تہاں,tahaa
تہذیبیں,tehzeebain
تہمت,tohmat
تہمتیں,tohmatein
تہیں,tehein
تہیہ,tahayya
تیرتھ,tirth
تیسویں,teeswein
ثم,sam
ثواب,sawab
جائیں,jayen
جاب,job
جابز,jabaz
جاتي,jati
جاتے,jatay
جاسوس,jasoos
جاوے,jave
جاھل,jahal
جبرائیل,jabraael
جبل,jabal
جبلِ,jabale
جبلہ,jablah
جتھہ,jatha
جتھے,jathay
جداول,judawal
جذام,jajam
جرزی,jarzi
جرمنی,germany
جسد,jasad
جسدِ,jasdi
جلوتوں,jalootoon
جلی,jali
جلیس,jalees
جمال,jamaal
جمروں,jamron
جمشیدی,jamshedi
جمعرات,jamarat
جمہوریت,jamhuriat
جمیت,jameet
جمیز,jameez
جمیع,jameea
جمیل,jameel
جناب,janab
جناتی,janaati
جنس,jins
جنسوں,janson
جنون,janoon
جنھیں,jinhen
جهانی,jhany
جوائس,jawas
جوانوں,javaanon
جواہرات,javaharaat
جودھپور,jodhpur
جوشی,joshi
جولس,joolas
جوہرات,jawahiraat
جوہروں,joharo
جوہرِ,johar
جوہری,johari
جویو,joyo
جي,ji
جڑ,jad
جڑنے,judnay
جڑوں,jadon
جڑی,jadi
جڑیں,jadain
جگا,jaga
جگانے,jaganay
جگایا,jagaayaa
جگمگا,jagmaga
جگمگانے,jagmagaanay
جھانگیر,jahangir
جھرمٹ,jharmit
جھلی,jhili
جھنکار,jhankar
جھونکا,jhonka
جھوپڑی,jhopdi
جھکتا,jhukta
جہاندار,jahandar
جہد,jahad
جہدے,jahade
جہلمی,jehalmee
جہینہ,gahenah
جیالوں,jayaloo
جیبی,jebi
جیحون,jeehon
جیس,jace
جینت,gaent
جیومیٹری,geometry
حاجي,haaji
حاسد,hasid
حاسدوں,haasdun
حاسدین,hasdeen
حافظا,haafiza
حالات,halat
حالاتِ,halati
حبس,habas
حتمی,hatmi
حجازی,hajazi
حجب,hajab
حدوں,hadon
حدیں,haden
حرات,haraat
حرز,harz
حرف,harf
حرمِ,harmi
حرمہ,haram
حرمین,harmain
حزب,hazab
حسابِ,hasabi
حسابی,hasabi
حشیش,hasheesh
حصرت,hasrat
حصہ,hissah
حضرات,hazraat
حفظہ,hifza
حقارت,haqaarat
حل,hal
حلوائی,halvaai
حلہ,hala
حلیت,haleet
حمزہ,hamza
حمنہ,hamna
حوالوں,hawalon
حوالگی,hawalgi
حوض,hauz
حویلیاں,haweliyan
حکمراں,hukamran
حکومتوں,hakoomaton
حکومتِ,hakoomate
حکومتی,hakumati
حیان,hayaan
حیدرآبادی,hyderabadi
خاتمے,khatmay
خاک,khak
خاکوں,khakon
خاکِ,khak
خبار,khabaar
خبردی,khabaradee
خبیر,khabeer
خر,khar
خرابیوں,kharabiyon
خراج,kharaj
خطرات,khatraat
خطوط,khatooth
خلاق,khalaq
خلاقیت,khalaqiat
خلط,khalat
خلفشار,khalfashar
خواہشاتِ,khuaishaathi
خودسر,khudsar
خوشحال,khushhaal
خیالو,khayalo
خیرالبشر,khairulbashar
خیز,khaiz
خیزی,khaizi
خیوا,khiwa
دابق,dabiq
دارالخلافہ,darulkhilafah
دارفور,darfor
داروں,daron
دارکے,darke
داریال,daryal
داس,das
داسو,daso
داسی,daasi
داغدار,dagdar
دانست,danist
داڑھی,daadhi
دبا,daba
دبائی,dabaeyee
دباغت,dabagat
دجل,dajal
دختر,dukhtar
دردمند,dardmand
دردمندی,dardmandi
دروازہ,darwazah
دروازے,darwaazay
درود,darud
درودِ,daroodi
دروش,darosh
دستار,dastar
دستارِ,dastari
دستاویزی,dastawezi
دستبردار,dastbardaar
دسترس,dastaras
دستگاہ,dastgah
دشواریاں,dashvarean
دعاؤں,duaon
دعاوی,daaawe
دفن,dafan
دفنا,dafna
دفنائے,dafnaae
دفنانے,dafananae
دلالی,dalali
دلاں,dilan
دلنور,dilnoor
دلہنیا,dulhaniya
دلیرانہ,dilerana
دمان,daman
دنیاکی,dunyaki
دنیاکے,dniake
دنیاے,dunayae
دوارا,dawaara
دوبالا,dobala
دورائے,dauraye
دولا,dola
دومۃ,domat
دوڑائیں,daudaayein
دوڑتے,daudtey
دوڑنے,daudane
دوڑیں,daudeen
دوہرے,dohre
ديار,dayar
دُعا,dua
دُعائے,duae
دُنیا,duniya
دگمبر,dagambar
دھرمی,dharmi
دھرنوں,dharnon
دھوکوں,dhokon
دہراتی,dehraati
دہشگردی,dahashgardee
دہلوی,dehalwee
دہندگان,dahindagan
دیاگیاہے,diyagayahai
دیتا,deta
دیدار,deedar
دیورانی,deoraany
دیپالپور,depalpur
دیگا,dega
ذبیحہ,zabeeha
ذرد,zard
ذریعه,zariyah
ذور,zor
ذکی,zaki
ذہر,zahar
ذیلی,zaili
رؤسا,rousa
راؤڈی,rawdee
رائج,raij
رائن,rayeen
رائٹ,right
رائٹنگ,writing
رابی,rabi
راجپال,rajpal
راجی,raji
راجیہ,rajiah
رازداں,raazdan
رازق,raziq
رافضیوں,raafizion
راکھ,raakh
راگا,raaga
رت,rut
رتنا,ratna
رتھ,rath
رتیں,ratein
رثائی,rasai
رجسٹرڈ,registered
رجوانہ,rajoanah
رحمن,rahman
رخ,rukh
رخوں,rukhon
رد,rad
ردے,rade
رسالدار,rasaldar
رساں,rasan
رسلان,raslaan
رسّی,rassi
رسک,risk
رش,rush
رشہ,rasha
رضاکار,razaakaar
رعايت,riayat
رفاقتوں,rafaqaton
رفض,rafaz
رقت,raqat
رمدے,ramday
روئیں,roen
روایات,riwayat
روجرز,rogers
روحانیت,ruhaniyat
روز,roz
روزمرہ,rozmara
روزناموں,roznaamon
روزنامچہ,roznaamcha
روزوں,rozon
روزِ,rozee
روزی,rozi
روزے,roze
روشنا,roshna
رولر,roller
رومانی,romani
رومانیہ,romaneah
رومن,roman
رومنوں,romano
روند,rond
روندتے,rondatay
روندے,ronday
روور,rowar
روٹھ,roth
روڈرک,rodrick
روڑے,rode
رُونما,ronumaa
رکتے,raktay
رکشے,rickshe
رکنا,rukna
رکنیت,rukniat
رکھوالی,rakhwali
رکین,rakeen
رکے,ruke
رہ,rah
رہئے,rahay
رہا,raha
رہائی,rehayi
رہانے,rahanay
رہاں,rahan
رہنے,rahne
ریان,rayaan
ریت,rait
ریتلی,raitli
ریتیش,ritesh
ریتیلے,raiteeley
ریجمنٹ,regiment
ریخی,rekhi
ریزن,reason
ریزیڈنٹ,resident
ریسورس,resource
ریسورسز,resources
ریسٹ,reset
ریلیز,release
رینج,range
رینجر,ranger
زئی,zai
زاہدان,zahdan
زبانون,zabanon
زبردستی,zabardasti
زخم,zakham
زخمہ,jakhmaa
زخمی,zakhmi
زر,zar
زرافے,zarafay
زرخیزی,zarkhaiyzee
زریت,zareet
زلمی,zalmi
زنجیر,zanjir
زنٹا,zinta
زنگ,zang
زوبیہ,jubia
زوج,jooj
زوجی,zaoji
زوجیت,zaojiyat
زوجین,zaojain
زوردار,zordaar
زيدان,zaidan
زِرہ,zirah
زکٰوۃ,zakaah
زیبائش,zebaish
زیبائشی,jibaishi
زیبرے,zebre
زیتون,zaitoon
زیلینڈ,zealaind
ساؤ,sao
سائنٹسٹ,scientist
سائٹس,sites
سائٹوں,siton
سائیکالوجسٹ,psychologist
سائیکلنگ,cycling
سائیکی,psyche
سات,saat
ساتہ,sata
ساحات,sahaat
ساختی,sakhti
سادھن,sadhan
ساروں,saron
سارہ,saraa
سارے,saaray
ساسان,sasaan
ساسانیان,sasaaniyan
ساسکچیوان,saasakchiwaan
ساعتوں,saato
سامر,samar
سامرہ,samra
سانس,saans
سانسی,sansi
ساوتھ,south
ساپ,saap
سایٹ,site
سببی,sabbi
سبق,sabaq
سبل,sabal
ستا,sata
ستائی,sataai
ستاتے,satate
ستاروں,sitaron
ستاری,sitari
ستّر,sattar
ستھری,sathre
ستھرے,sathray
سج,saj
سجل,sajal
سختیوں,sakhtion
سدید,sadeed
سراب,saraab
سرابی,sarabi
سراسر,sarasar
سرایا,saraya
سربازی,sarbazi
سرتاج,sartaj
سرحد,sarhad
سرحدات,sarhadat
سرحدوں,sarhadon
سرحدیں,sarhaden
سرزد,sarzad
سرس,sars
سرفیس,sarfes
سروجی,saroji
سریل,cyril
سست,sast
سسر,sasr
سطحی,sathee
سطحیں,sathen
سفارش,sifarish
سفارشیں,safarshen
سلجھانا,suljhana
سلجھنے,sulajhnay
سلطنتِ,sultanate
سلطنتیں,sultanatein
سلووینیا,slovenia
سلگ,salg
سلیب,slab
سلیقہ,salaekha
سلیکشن,selection
سماجیاتی,samajiati
سماعت,samaat
سماوی,smavi
سمایا,samaya
سمت,samat
سمتوں,samton
سمتیں,samatein
سمجھوتا,samjhauta
سمجھے,samjhe
سمر,samr
سمراٹ,samrat
سمرہ,samrah
سمفنی,samfani
سمندی,samande
سمور,samor
سمیجو,samijo
سناتا,sanata
سنان,sanan
سناٹا,sanata
سنبھالنی,sambhalnay
سنتا,santa
سنجی,sanji
سنجے,sanjay
سندری,sandhri
سنوارتی,sanwarti
سنٹی,santee
سنی,sani
سواری,sawari
سواریوں,sawarion
سواع,suaa
سوتیس,sautees
سوجا,soja
سوداء,saudaa
سوداگران,saudagaran
سورۃ,soorah
سوفٹ,soft
سولا,sola
سولجر,soldier
سومنات,somnat
سونو,sono
سونٹھ,sonth
سونپا,sonpa
سوہر,sohar
سوہنا,sohna
سيدہ,sidah
سٹارٹ,start
سٹارک,stark
سٹرنگز,strainges
سٹیج,stage
سپر,super
سپرد,sapurd
سپردِ,spurdi
سپرے,spray
سپنا,sapna
سپیڈ,speed
سچائی,sachayi
سچائیوں,sachaiyon
سکالرشپ,scholarship
سکوت,sakoot
سکّہ,sikka
سکیموں,schemon
سکیننگ,scanning
سہارہ,sahara
سہالہ,sahalah
سیادت,sayadat
سیرا,sera
سیرجان,serjan
سیریس,serious
سیلرز,sailers
سینگی,sengi
سیواس,seevas
سیڑھی,seedhi
سیکل,cycle
سیکنڑوں,secnadon
سیہ,seaya
ش,sheen
شئیر,share
شا,sha
شائر,shayar
شائید,shayed
شافعیہ,shaafia
شامیانے,shamiyane
شبان,shabaan
شبه,shuba
شبِ,shabe
شبھات,shubhaat
شجاعت,shajaat
شد,shad
شدن,shadan
شراب,sharab
شرعاً,sharan
شرمسار,sharamsar
شروحات,sharohat
شرٹ,shirt
شرکائے,shirkaye
شرکت,shirkat
شریعہ,shariah
شعر,sher
شعروں,sheron
شعرِ,sher
شعری,sheri
شعیب,shayeeb
شعیہ,shaia
شم,sham
شمالي,shamaali
شموئیل,shamoel
شناسا,shanaasa
شوخ,shokh
شوخی,shoqi
شور,shor
شورائے,shoraye
شورِ,shore
شورہ,shoara
شورے,shore
شوکت,shokat
شوھر,shohar
شکیل,shakil
شکیلہ,shakeela
شہد,shahad
شہدائے,shahdayae
شہدہ,shahdah
شہنشاہوں,shahanshahon
شہنشاہِ,shahanshahi
شہنشاہی,shahanshahi
شہنشاہیت,shahanshahiyat
شہکار,shahkaar
شیخو,shekhu
شیراک,sherak
شیروانی,sherwaani
شیف,chef
شیلٹر,shelter
شیٹھی,shethy
شۓ,shae
صارفی,saarfi
صالح,saleh
صالحہ,salha
صالحی,saalhi
صبور,saboor
صحابی,sahabi
صحابیات,sahabiat
صحرا,sahra
صحرائے,sehraye
صحراوں,sehraon
صدر,sadar
صدرِ,sadaree
صدری,sadri
صراط,saraat
صریحاً,sareehan
صعنت,saanat
صغیر,sagheer
صفحہ,safh
صفحہء,safha
صفحے,safhe
صلاحتیوں,salahateon
صلوات,salvat
صندوق,sandooq
صندوقوں,sandookhoon
صنعت,sanat
صنعتوں,sanaton
صنعتِ,sanate
صوتی,sooti
صہبا,sahaba
صہبائی,sahbaye
ضابطوں,zaabaton
ضابطہ,zabitah
ضابطے,zabte
ضروت,zaroot
ضرورتوں,zaruraton
ضلعی,zalai
ضیافتوں,zeyafaton
طاقتی,taaqatee
طبس,tabas
طبعاً,taban
طر,tar
طرہ,tarah
طلا,tala
طلال,talaal
طوائفوں,tavayifeon
طيبہ,taiba
طيور,tayoor
ظاہراً,zahiran
ظاہرہ,zaahirah
ظریفانہ,zarifanah
ظریفی,zareefi
ظفر,zafar
عاج,aaj
عاجلہ,aajla
عاد,aad
عادتاً,adatan
عادی,aadi
عاری,aari
عاصم,aasam
عبات,ibaat
عباسی,abbasi
عبیدہ,obaida
عتبہ,atba
عدالت,adalat
عدالتوں,adaalaton
عدالتِ,adaalati
عدالتیں,adaltein
عدول,adool
عروہ,urwah
عش,ash
عشر,ashar
عشرت,ishrat
عشروں,ashron
عشرہ,ashrah
عشرۃ,ashrat
عضلات,azlat
عضلاتی,azlati
عطاری,atari
عطیات,atyaat
عقید,aqeed
عقیدتوں,aqeedaton
عقیدوں,akheedoan
عقیدے,akheede
علاقه,elakhah
علقمہ,alqama
علما,ulama
علمائے,ulmaye
عليها,aleeha
علّامہ,allama
علیه,alaih
عمروں,umron
عمرِ,umre
عملا,amla
عملیاتی,amaliyaat
عناصر,anasir
عنان,anaan
عنانِ,aanaane
عو,ao
عوانہ,awana
عہدہ,ahdah
عہدیدار,ahdeedar
عہدیداروں,ahdedaron
عیال,ayaal
عیص,eis
غاصبوں,ghasabon
غت,ghat
غدود,ghadud
غرباء,gurba
غزالہ,gazaalah
غزالی,gazaali
غضنفر,ghazanfar
غفار,ghafar
غفاری,ghafari
غل,ghul
غلطی,galti
غلطیاں,galtiyan
غنڈی,ghundi
فائو,faau
فارسٹ,forest
فاس,fas
فاضلی,faadlee
فالج,faalij
فالودہ,falooda
فبای,fabaai
فتحیاب,fatehyaab
فتوہ,fatwah
فتوی,fatwi
فتوے,fatvey
فجر,fajar
فجور,fajoor
فخری,fakhri
فرائڈ,faraaid
فراس,faraas
فرانز,franz
فراواں,farawan
فراہ,farah
فراہی,farahi
فردہ,farda
فرسودہ,farsoodah
فرغ,farg
فرمائی,farmayi
فرمان,farman
فرمانی,farmani
فروزاں,faruzan
فشانوں,fashaanon
فضائی,fazayi
فضائیہ,fazaia
فعلیات,faaliat
فغانی,faghani
فقدان,fakdaan
فقھاء,fakhaa
فقہاء,fakhhah
فقہائے,faqhaye
فلمائے,filmaye
فلپس,felups
فلک,falak
فلکی,falaki
فلیک,flake
فنانشیل,fanansheel
فنک,fank
فورمز,forms
فورموں,foramoan
فوری,fauri
فولک,folic
فوٹوگرافی,photography
فکریات,fikriyat
فہمی,fehmi
فہمیوں,fehmiyon
فیئربینکس,fairbanks
فیتے,fete
فیلڈنگ,fielding
فیچر,feature
قابلِ,khabalee
قاتلان,khaatilan
قاتِل,qatil
قارئین,qaaraen
قارورہ,qarorah
قافلے,qaafilay
قانون,qanun
قانونی,qanuni
قانونیت,qanooniyat
قاہرہ,cairo
قبا,khaba
قبانی,khabani
قبول,qabul
قبولِ,qaboli
قبيلہ,qabilah
قدامت,qadamat
قدرت,qudrat
قدردان,qadardan
قدور,qadur
قرص,qars
قسطنطین,khasatnaten
قصاب,qasab
قصدا,qasda
قصیدے,khaseede
